name,price,vehicleType,yearOfRegistration,gearbox,powerCV,kilometer,fuelType,brand,notRepairedDamage
Unimog_Reifen_4Stueck,200,desconocido,3000,desconocido,,5000,desconocido,mercedes_benz,
Yamaha_Raptor_660R_Limited_Edition___Spezialausfuehrung,4900,desconocido,6000,manually,51.0,10000,petrol,others,no
Renaul_laguna_1.9_cdi,700,desconocido,2290,desconocido,,5000,desconocido,renault,
Corrado_vr6_2.8,1500,desconocido,5000,desconocido,172.0,5000,petrol,volkswagen,
Vito_touret_119_Blue_Tec,42800,desconocido,6200,automatic,,10000,diesel,mercedes_benz,no
Vw_Golf_1_Cabrio_original_unverbastelt,1550,desconocido,9999,desconocido,94.0,10000,desconocido,volkswagen,
Tausche_Aprilia_SR50_gegen_ein_Auto,600,desconocido,9450,desconocido,,10000,petrol,others,
VW_POLO_G40__G45_HTN__Spiess__PLS__BBS__G60__16v__vr6__gti,11111,desconocido,7000,desconocido,,10000,desconocido,volkswagen,
Hallo_ich__bin_auf_der_Suche_nach_ein_vw_Touran,3500,desconocido,2500,desconocido,,5000,diesel,volkswagen,
Opel_Ascona_B_2.0_E,9500,desconocido,5000,desconocido,108.0,5000,desconocido,opel,
Piaggio_ape_ist_sie_nicht_sondern_eine_Gerosa,400,desconocido,9999,desconocido,,10000,desconocido,others,
Leider_nich_fahrbereit,200,desconocido,5000,manually,,5000,petrol,opel,yes
Mazdar_zu_verkaufen,20000,desconocido,6000,desconocido,118.0,10000,petrol,mazda,
BMW_///_Bodensee,999999,desconocido,9999,desconocido,,10000,desconocido,bmw,
Biete_Vorvertrag_Bmw_435i_440i_cabrio,46320,desconocido,6000,desconocido,322.0,10000,petrol,bmw,
Suche_Mazda_Premacy_oder_Daewoo_Rezzo,1000,desconocido,9999,desconocido,,10000,desconocido,mazda,
Sommer_reifen_1_Saison_Gefahren_auf_RIal_Alufelgen_mit_ABE_!!!!,180,desconocido,7000,desconocido,,10000,desconocido,opel,
Seat_Leon_Cupra,25500,desconocido,7500,manually,,10000,desconocido,seat,
Kaufe_Alle_Pkw_&_LKW,5555,desconocido,5555,desconocido,,10000,other,bmw,
Suche_Mazda_Premacy_oder_Daewoo_Rezzo,850,desconocido,9999,desconocido,,10000,desconocido,mazda,
BMW_320i_Jahreswagen,33900,desconocido,9000,desconocido,,10000,desconocido,bmw,no
Bastler_sucht_zum_herrichten,77777,desconocido,7777,desconocido,,10000,desconocido,others,
City_El_Elektroauto,1400,desconocido,9000,desconocido,,10000,desconocido,others,
Ford_Escort_Kombi._Klimaanlage._Anhaengerkuplung,160,desconocido,5600,desconocido,,10000,desconocido,ford,
3x_BMW_E36_Coupe_316i_alle_zusammen_fuer_850_Euro!,850,desconocido,9999,desconocido,,10000,desconocido,bmw,no
Suche_Auto_mit_TÜV_bis_100_€,100,desconocido,2222,desconocido,,5000,desconocido,others,
Vw_golf_1_cabrio_bj_89,5500,desconocido,3000,desconocido,,5000,petrol,volkswagen,
Fiat_Topolino_Furgoncino_Simca_5_Fourgonette_Restaurierungsbasis,2850,desconocido,9999,desconocido,,10000,desconocido,fiat,
Fiat_Tipo_Sedicivalvole,1200,desconocido,5000,manually,144.0,5000,petrol,fiat,
Opel_Blitz_Oldtimer,2250,desconocido,6000,manually,,10000,petrol,opel,
Leider_nich_fahrbereit,200,desconocido,5000,manually,,5000,petrol,opel,yes
Adly_Buggy,2000,desconocido,3000,desconocido,,5000,desconocido,others,
Vw_t3_Transporter_Motor_neu,3500,desconocido,6000,desconocido,,10000,diesel,volkswagen,
VW_GOLF_2_SYNCRO,1700,desconocido,2800,manually,97.0,5000,petrol,volkswagen,
Verkaufe_VW_Polo_1.0_Comfortline_BMT,10900,desconocido,7000,desconocido,,10000,desconocido,volkswagen,
Ich_suche_einen_7_sitzer,150,desconocido,9999,desconocido,,10000,desconocido,others,
Tomason_18_Zoll_mit_225er_Tausch_oder_Verkauf,300,desconocido,5000,desconocido,,5000,desconocido,audi,
BMW_525dA_Touring_Facelift_Sportsitze_Navi_Prof,14800,desconocido,5000,automatic,,5000,diesel,bmw,
Armee_Jeep,9800,desconocido,4500,manually,,5000,desconocido,jeep,
4x_Winterreifen_auf_Alufelge_der_naechste_Winter_kommt_bestimmt,250,desconocido,5000,desconocido,,5000,desconocido,seat,
M_klasse__mercedes,8700,desconocido,4500,desconocido,94.0,5000,desconocido,mercedes_benz,no
Suche_Familienkutsche!!!,123456,desconocido,8888,desconocido,,10000,desconocido,others,
Opel_Adam_glam,9500,desconocido,7800,desconocido,,10000,petrol,opel,
Vw_T1_Bulli_Bus,19000,desconocido,9999,desconocido,,10000,desconocido,volkswagen,
Cross_kaefer___flachkaefer,350,desconocido,9999,desconocido,,10000,desconocido,volkswagen,
25_kmh_Fiat_Supper_zustand,4000,desconocido,7100,manually,,10000,desconocido,fiat,
Opel_Kadett_C_Coupe_2.0,11500,desconocido,5000,manually,108.0,5000,desconocido,opel,
Super_Clip,500,desconocido,5555,desconocido,,10000,desconocido,renault,
EXC_530_KTM_Spass_gesucht??,4400,desconocido,5000,desconocido,,5000,desconocido,others,
WERBEFLÄCHE_:::_SKODA_OCTAVIA_III__WEIss_,500,desconocido,8200,automatic,80.0,10000,desconocido,skoda,
RENNWAGEN_GRUPPE_F,15000,desconocido,5000,desconocido,153.0,5000,petrol,volkswagen,
Chevrolet_Camaro_Z28_Cabrio,25500,desconocido,5000,manually,424.0,5000,desconocido,chevrolet,
Golf_1_75ps_5911km_Original_Automatik,7999,desconocido,5911,automatic,74.0,10000,desconocido,volkswagen,
Mazda_6_GH__2008_Alufelgen_mit_Brereifung,450,desconocido,2500,desconocido,,5000,desconocido,mazda,
Vw_Golf_1_16v_Turbo,12000,desconocido,4000,desconocido,493.0,5000,desconocido,volkswagen,no
